int_rate,loan_amnt,term,grade,home_ownership,annual_inc,purpose
16.29,12000,36,D,RENT,88365,debt_consolidation
13.49,12000,36,C,RENT,72000,debt_consolidation
10.65,12000,36,B,RENT,62000,credit_card
10.65,7000,36,B,MORTGAGE,43680,credit_card
19.42,8200,60,E,RENT,120000,debt_consolidation
12.69,10500,36,B,RENT,66000,medical
11.71,7000,36,B,OWN,39120,debt_consolidation
22.06,15300,60,F,RENT,85000,credit_card
11.71,20000,60,B,MORTGAGE,47800,debt_consolidation
17.27,17500,60,D,MORTGAGE,45000,credit_card
6.03,3500,36,A,MORTGAGE,83000,car
12.69,6000,60,B,RENT,81000,major_purchase
9.91,6200,36,B,RENT,25000,debt_consolidation
17.58,16000,60,D,RENT,65000,debt_consolidation
8.90,6000,36,A,OWN,28800,debt_consolidation
9.91,7200,36,B,RENT,135000,credit_card
8.90,9500,36,A,MORTGAGE,50000,credit_card
16.77,18825,60,D,RENT,38000,debt_consolidation
10.65,24000,36,B,RENT,45000,debt_consolidation
13.49,6000,36,C,RENT,80000,debt_consolidation
13.49,6000,36,C,RENT,50000,debt_consolidation
12.42,2100,36,B,MORTGAGE,30000,vacation
6.62,5500,36,A,MORTGAGE,110000,small_business
6.62,11000,36,A,OWN,45608,debt_consolidation
20.89,26800,60,F,MORTGAGE,120000,debt_consolidation
12.69,8000,36,B,MORTGAGE,35000,debt_consolidation
18.25,10000,36,D,RENT,75000,credit_card
11.71,8000,36,B,MORTGAGE,35000,credit_card
8.90,10000,36,A,RENT,24000,debt_consolidation
11.71,12000,36,B,MORTGAGE,126000,debt_consolidation
7.90,10000,36,A,RENT,43000,debt_consolidation
9.91,12000,36,B,RENT,50000,debt_consolidation
13.49,25000,60,C,MORTGAGE,67000,credit_card
10.65,19750,36,B,RENT,45000,debt_consolidation
9.91,10000,36,B,RENT,31200,debt_consolidation
12.42,13650,36,B,RENT,66000,debt_consolidation
19.91,28000,60,E,RENT,52000,debt_consolidation
7.90,18000,36,A,RENT,56964,debt_consolidation
14.27,2500,36,C,RENT,49500,debt_consolidation
20.30,21000,60,E,RENT,70000,credit_card
8.90,35000,36,A,MORTGAGE,125000,debt_consolidation
7.51,10000,36,A,RENT,33000,credit_card
12.69,7000,36,B,RENT,30000,credit_card
15.96,24000,36,C,MORTGAGE,90000,home_improvement
7.51,10625,36,A,MORTGAGE,23000,medical
14.65,5000,36,C,RENT,24000,debt_consolidation
6.62,8850,36,A,RENT,62000,credit_card
7.51,6375,36,A,RENT,44000,debt_consolidation
11.71,6000,36,B,RENT,90000,credit_card
6.62,11100,36,A,RENT,41000,credit_card
12.69,10000,60,B,MORTGAGE,56000,debt_consolidation
6.03,6200,36,A,MORTGAGE,26500,small_business
18.64,15000,36,E,RENT,54000,debt_consolidation
11.71,4200,36,B,RENT,53000,other
14.27,14000,36,C,RENT,52800,debt_consolidation
7.51,8875,36,A,MORTGAGE,38000,debt_consolidation
9.91,13500,36,B,RENT,38000,debt_consolidation
9.91,12000,36,B,RENT,42000,debt_consolidation
19.91,16000,60,E,RENT,55000,debt_consolidation
19.42,21600,60,E,MORTGAGE,60000,debt_consolidation
10.65,6000,36,B,MORTGAGE,87000,home_improvement
16.77,8450,60,D,OWN,25000,debt_consolidation
13.49,20000,60,C,RENT,82000,credit_card
11.71,10000,36,B,RENT,60000,debt_consolidation
16.29,12000,36,D,MORTGAGE,80000,credit_card
13.49,13475,60,C,RENT,25000,credit_card
12.42,7200,36,B,RENT,48000,major_purchase
14.65,5600,36,C,MORTGAGE,85000,debt_consolidation
14.27,12000,36,C,RENT,57000,debt_consolidation
6.03,8500,36,A,RENT,25000,credit_card
9.91,8000,36,B,RENT,34000,credit_card
12.42,8000,36,B,RENT,40000,credit_card
15.27,16000,60,C,RENT,42656.4,debt_consolidation
17.27,15000,36,D,MORTGAGE,44400,house
9.91,10000,36,B,OWN,30000,debt_consolidation
6.62,10000,36,A,MORTGAGE,70000,credit_card
14.65,8000,36,C,RENT,28000,car
9.91,22000,36,B,MORTGAGE,50000,debt_consolidation
14.27,6000,36,C,MORTGAGE,94800,car
9.91,16000,60,B,OWN,40000,debt_consolidation
7.51,2500,36,A,OWN,12000,debt_consolidation
9.91,13500,36,B,MORTGAGE,36000,credit_card
12.42,25000,36,B,RENT,225000,debt_consolidation
13.49,10000,36,C,RENT,45900,small_business
13.49,2500,36,C,RENT,27200,debt_consolidation
12.69,7325,36,B,RENT,42000,debt_consolidation
12.42,4000,36,B,RENT,135000,credit_card
13.49,10000,36,C,RENT,65000,small_business
17.27,7750,36,D,RENT,24000,debt_consolidation
20.89,20000,60,F,RENT,70000,debt_consolidation
12.42,9600,36,B,RENT,65000,debt_consolidation
11.71,21000,60,B,RENT,60000,debt_consolidation
10.65,14000,36,B,RENT,30000,credit_card
12.42,13350,36,B,RENT,43000,debt_consolidation
16.77,15000,36,D,RENT,42000,debt_consolidation
17.27,15000,36,D,RENT,75000,debt_consolidation
13.49,11000,60,C,MORTGAGE,129000,debt_consolidation
10.65,35000,36,B,MORTGAGE,168000,debt_consolidation
10.65,9000,36,B,MORTGAGE,74000,credit_card
15.27,22475,60,C,MORTGAGE,52000,debt_consolidation
12.69,16000,36,B,RENT,58500,debt_consolidation
12.69,13500,36,B,RENT,71000,debt_consolidation
12.69,24000,36,B,RENT,75000,debt_consolidation
10.65,12000,36,B,RENT,60000,credit_card
16.77,8400,60,D,RENT,87996,major_purchase
17.58,28000,60,D,MORTGAGE,140000,home_improvement
6.62,14000,36,A,RENT,66000,debt_consolidation
14.27,12000,36,C,MORTGAGE,70000,other
11.71,25000,36,B,MORTGAGE,100000,debt_consolidation
12.69,9000,36,B,RENT,50000,debt_consolidation
10.65,13250,36,B,RENT,35000,debt_consolidation
13.49,20000,36,C,RENT,75000,debt_consolidation
14.65,3000,36,C,RENT,71000,medical
10.65,7350,36,B,MORTGAGE,48000,debt_consolidation
15.27,11500,36,C,RENT,36000,debt_consolidation
12.42,13650,36,B,MORTGAGE,86000,debt_consolidation
16.29,10500,36,D,RENT,30000,debt_consolidation
9.91,12000,36,B,RENT,60000,debt_consolidation
8.90,6000,36,A,RENT,34000,credit_card
15.27,11500,36,C,MORTGAGE,44200,credit_card
12.42,7000,36,B,MORTGAGE,82000,debt_consolidation
20.30,29500,60,E,MORTGAGE,83000,debt_consolidation
15.27,2000,36,C,RENT,41000,moving
13.49,11625,36,C,MORTGAGE,36000,credit_card
14.27,15075,36,C,RENT,35000,debt_consolidation
15.27,5300,36,C,RENT,30000,credit_card
6.62,8200,36,A,RENT,40000,home_improvement
12.42,12000,36,B,MORTGAGE,105000,credit_card
14.27,8650,36,C,MORTGAGE,45000,credit_card
17.27,21000,60,D,MORTGAGE,109000,debt_consolidation
17.27,16000,60,D,RENT,50000,debt_consolidation
12.42,12000,36,B,RENT,83000,debt_consolidation
12.69,9500,36,B,MORTGAGE,52500,moving
13.49,7400,36,C,OWN,25000,debt_consolidation
13.49,14400,36,C,MORTGAGE,60000,debt_consolidation
23.91,24250,60,G,MORTGAGE,120000,debt_consolidation
7.90,7200,36,A,RENT,68000,debt_consolidation
16.77,26000,60,D,MORTGAGE,53000,home_improvement
11.71,7000,60,B,MORTGAGE,69600,credit_card
7.51,4000,36,A,RENT,65000,major_purchase
17.27,1500,36,D,MORTGAGE,144000,debt_consolidation
12.42,19600,36,B,RENT,75000,credit_card
11.71,2500,36,B,MORTGAGE,29000,debt_consolidation
12.69,10000,36,B,RENT,70000,credit_card
6.62,10000,36,A,RENT,45000,credit_card
12.42,4225,36,B,MORTGAGE,55200,other
7.90,3500,36,A,MORTGAGE,61440,vacation
6.62,12000,36,A,MORTGAGE,56000,debt_consolidation
8.90,16500,36,A,RENT,47000,debt_consolidation
21.67,22000,60,F,RENT,55000,debt_consolidation
14.65,12000,36,C,RENT,71000,credit_card
12.69,15600,60,B,RENT,50000,vacation
12.42,10800,36,B,RENT,135000,credit_card
12.42,14000,36,B,MORTGAGE,63000,credit_card
17.58,18825,60,D,MORTGAGE,44000,debt_consolidation
13.49,6000,36,C,MORTGAGE,50000,debt_consolidation
9.91,12000,36,B,RENT,80000,debt_consolidation
12.42,10000,36,B,RENT,45000,debt_consolidation
7.90,8000,36,A,RENT,78000,vacation
9.91,14125,36,B,RENT,33000,debt_consolidation
12.69,14000,36,B,RENT,62800,debt_consolidation
17.27,13200,60,D,RENT,26400,small_business
19.03,4000,36,E,MORTGAGE,80000,vacation
12.69,4000,36,B,RENT,25000,debt_consolidation
6.03,10500,36,A,MORTGAGE,65000,debt_consolidation
7.90,5500,36,A,OWN,59000,car
11.71,7350,36,B,RENT,33000,debt_consolidation
12.42,10000,36,B,RENT,39000,credit_card
7.51,12000,36,A,RENT,42000,debt_consolidation
11.71,5000,60,B,MORTGAGE,38004,home_improvement
11.71,8000,60,B,OWN,31000,other
8.90,4500,36,A,MORTGAGE,50700,other
12.42,18000,36,B,OWN,75000,credit_card
13.49,12300,60,C,MORTGAGE,30000,debt_consolidation
13.49,12000,36,C,RENT,40000,debt_consolidation
13.49,10000,36,C,MORTGAGE,50000,credit_card
7.90,6000,36,A,MORTGAGE,80000,other
12.69,12000,36,B,RENT,40000,debt_consolidation
8.90,12000,36,A,RENT,80000,other
11.71,7000,36,B,RENT,75000,debt_consolidation
18.64,35000,60,E,MORTGAGE,85000,debt_consolidation
7.90,1400,36,A,RENT,28800,other
13.49,16000,60,C,RENT,35000,small_business
9.91,3200,36,B,RENT,61200,debt_consolidation
7.90,8000,36,A,RENT,40000,medical
12.69,11875,60,B,RENT,25920,debt_consolidation
6.03,5000,36,A,MORTGAGE,54000,home_improvement
6.62,1800,36,A,RENT,18000,small_business
8.90,35000,36,A,RENT,85000,debt_consolidation
8.90,18000,36,A,RENT,78000,credit_card
7.90,14000,36,A,OWN,45600,debt_consolidation
12.42,5000,36,B,RENT,70000,debt_consolidation
15.96,8000,36,C,RENT,70000,credit_card
6.03,10000,36,A,MORTGAGE,80000,debt_consolidation
7.51,10000,36,A,RENT,50000,debt_consolidation
12.42,12000,36,B,MORTGAGE,35000,debt_consolidation
7.90,23200,36,A,MORTGAGE,65000,debt_consolidation
15.27,18000,60,C,MORTGAGE,84000,credit_card
15.27,4800,36,C,MORTGAGE,75000,debt_consolidation
11.71,7300,36,B,RENT,35000,debt_consolidation
9.91,10400,36,B,RENT,40000,debt_consolidation
9.91,6600,36,B,MORTGAGE,100000,house
8.90,12000,36,A,OWN,40000,debt_consolidation
17.27,13250,36,D,RENT,52000,debt_consolidation
11.71,12000,36,B,RENT,92500,debt_consolidation
9.91,25000,36,B,RENT,61000,debt_consolidation
10.65,6000,36,B,RENT,36000,other
7.51,12000,36,A,MORTGAGE,68000,credit_card
11.71,14400,36,B,RENT,80000,credit_card
12.42,10000,36,B,RENT,43000,credit_card
11.71,8000,36,B,RENT,150000,credit_card
16.29,8000,36,D,RENT,50000,credit_card
12.42,30000,60,B,RENT,70000,small_business
16.77,18000,60,D,OWN,40000,home_improvement
11.71,13250,36,B,OWN,35000,credit_card
14.27,14000,36,C,RENT,80000,debt_consolidation
20.30,20000,60,E,OWN,59000,debt_consolidation
16.29,10000,36,D,RENT,40000,credit_card
20.30,35000,60,E,RENT,85000,debt_consolidation
6.03,4000,36,A,RENT,55000,debt_consolidation
9.91,13000,36,B,RENT,110000,debt_consolidation
12.69,28000,36,B,RENT,100000,credit_card
13.49,10000,36,C,RENT,62000,debt_consolidation
7.90,20000,36,A,RENT,45000,debt_consolidation
9.91,18000,36,B,RENT,110000,debt_consolidation
19.91,9000,60,E,RENT,60000,credit_card
18.64,25000,60,E,RENT,61500,debt_consolidation
11.71,10000,36,B,RENT,33000,other
6.03,4200,36,A,RENT,61000,credit_card
15.27,20000,60,C,OWN,78216,debt_consolidation
17.27,18000,60,D,MORTGAGE,62000,debt_consolidation
16.29,24000,36,D,RENT,50964,debt_consolidation
15.27,4475,36,C,RENT,43680,credit_card
14.65,20000,60,C,MORTGAGE,56000,credit_card
12.42,12000,36,B,RENT,50700,credit_card
17.58,18000,60,D,MORTGAGE,60000,debt_consolidation
12.42,5000,36,B,RENT,30000,debt_consolidation
6.03,3000,36,A,RENT,50000,other
19.03,25000,60,E,RENT,75000,debt_consolidation
19.03,18000,60,E,RENT,90000,credit_card
9.91,12000,36,B,RENT,55000,debt_consolidation
15.27,20000,36,C,MORTGAGE,50000,other
13.49,10000,36,C,RENT,84000,debt_consolidation
12.42,15000,36,B,OWN,155000,debt_consolidation
7.90,12000,36,A,MORTGAGE,62000,debt_consolidation
10.65,20000,60,B,MORTGAGE,175000,debt_consolidation
11.71,6300,36,B,RENT,30000,credit_card
16.77,20000,60,D,RENT,50000,credit_card
17.27,35000,60,D,MORTGAGE,208000,debt_consolidation
15.96,8250,60,C,MORTGAGE,35004,home_improvement
12.69,20000,60,B,OWN,85000,home_improvement
11.71,10000,36,B,RENT,32000,credit_card
8.90,24000,36,A,MORTGAGE,116400,car
12.69,14400,36,B,MORTGAGE,40000,debt_consolidation
14.65,6000,36,C,RENT,34000,credit_card
15.96,22000,36,C,MORTGAGE,73000,debt_consolidation
11.71,12000,36,B,RENT,57200,debt_consolidation
16.77,16000,36,D,MORTGAGE,114000,debt_consolidation
10.65,10000,36,B,MORTGAGE,90000,debt_consolidation
19.03,16000,60,E,MORTGAGE,54000,home_improvement
12.69,10000,36,B,RENT,35000,debt_consolidation
13.49,3500,36,C,RENT,56000,debt_consolidation
9.91,9600,36,B,RENT,35000,debt_consolidation
7.90,9875,36,A,MORTGAGE,40000,debt_consolidation
17.58,21500,60,D,OWN,59000,debt_consolidation
7.90,4800,36,A,RENT,48000,debt_consolidation
6.03,7800,36,A,OWN,85000,major_purchase
14.27,20000,36,C,MORTGAGE,70000,credit_card
7.51,9750,36,A,RENT,35000,debt_consolidation
15.96,18000,60,C,MORTGAGE,91000,credit_card
6.03,5000,36,A,MORTGAGE,30000,other
14.65,9000,36,C,RENT,45000,debt_consolidation
7.90,7200,36,A,RENT,55000,debt_consolidation
19.03,3000,60,E,RENT,53004,other
19.42,25000,60,E,RENT,60000,credit_card
15.27,25000,36,C,OWN,82000,debt_consolidation
15.96,10000,36,C,RENT,53000,debt_consolidation
12.69,8875,36,B,MORTGAGE,35360,debt_consolidation
11.71,15550,36,B,RENT,54000,debt_consolidation
15.27,17000,60,C,RENT,65000,debt_consolidation
12.69,7500,36,B,RENT,65000,credit_card
8.90,8875,36,A,OWN,28800,debt_consolidation
17.27,4500,36,D,RENT,42000,credit_card
12.42,5800,36,B,RENT,36000,debt_consolidation
11.71,10000,36,B,RENT,40000,debt_consolidation
9.91,10000,36,B,RENT,50000,credit_card
11.71,14000,36,B,RENT,52000,credit_card
19.03,25000,60,E,MORTGAGE,85000,credit_card
8.90,12000,36,A,RENT,32000,debt_consolidation
7.90,24000,36,A,OWN,75000,debt_consolidation
14.27,14000,36,C,RENT,80000,credit_card
8.90,12000,36,A,MORTGAGE,40246,credit_card
12.69,15000,60,B,OWN,30000,debt_consolidation
12.69,8050,36,B,RENT,36000,debt_consolidation
10.65,5600,36,B,RENT,60000,debt_consolidation
9.91,7500,36,B,RENT,31200,credit_card
11.71,7000,36,B,RENT,90000,credit_card
7.90,5400,36,A,RENT,40000,debt_consolidation
12.42,16000,36,B,RENT,90000,credit_card
12.42,35000,60,B,MORTGAGE,105000,home_improvement
7.90,6000,60,A,RENT,30084,debt_consolidation
12.69,4125,60,B,MORTGAGE,36000,car
16.29,9800,36,D,RENT,67000,credit_card
18.25,15700,60,D,MORTGAGE,63000,debt_consolidation
6.62,5000,36,A,RENT,276000,debt_consolidation
11.71,9900,36,B,RENT,26400,debt_consolidation
11.71,4000,36,B,RENT,24000,home_improvement
11.71,15000,36,B,MORTGAGE,68400,debt_consolidation
15.96,6250,36,C,RENT,29120,debt_consolidation
16.29,6400,36,D,RENT,29120,debt_consolidation
13.49,8850,60,C,MORTGAGE,89122,major_purchase
15.27,12000,36,C,MORTGAGE,54000,debt_consolidation
8.90,15000,36,A,MORTGAGE,30000,debt_consolidation
14.27,6500,36,C,MORTGAGE,30000,credit_card
15.96,8000,36,C,RENT,50000,credit_card
21.28,30000,60,F,MORTGAGE,92000,home_improvement
14.65,15000,36,C,MORTGAGE,100500,credit_card
14.27,10200,36,C,RENT,40000,debt_consolidation
12.42,9000,36,B,MORTGAGE,47000,credit_card
16.29,6500,36,D,MORTGAGE,68000,debt_consolidation
21.28,23000,60,F,MORTGAGE,95000,debt_consolidation
7.90,2000,36,A,RENT,39600,credit_card
13.49,8000,36,C,OWN,30000,debt_consolidation
7.51,8875,36,A,RENT,30000,debt_consolidation
18.64,1500,36,E,RENT,17000,other
12.42,8000,36,B,RENT,42000,debt_consolidation
14.65,20000,60,C,RENT,75000,debt_consolidation
11.71,6500,36,B,RENT,42000,credit_card
13.49,9600,36,C,MORTGAGE,27000,debt_consolidation
12.69,25975,60,B,MORTGAGE,130000,debt_consolidation
7.90,10000,36,A,MORTGAGE,46000,home_improvement
12.42,15000,36,B,MORTGAGE,80000,debt_consolidation
6.62,9000,36,A,MORTGAGE,45000,debt_consolidation
7.90,10000,36,A,RENT,72500,credit_card
14.65,1000,36,C,RENT,18408,major_purchase
7.90,14000,36,A,RENT,30000,debt_consolidation
14.27,8500,36,C,RENT,50000,debt_consolidation
19.03,15000,60,E,RENT,75000,debt_consolidation
15.96,4500,36,C,MORTGAGE,65000,other
7.51,3000,36,A,MORTGAGE,65000,major_purchase
9.91,10000,36,B,MORTGAGE,120000,home_improvement
16.77,21250,60,D,MORTGAGE,42500,debt_consolidation
13.49,33425,60,C,MORTGAGE,75000,debt_consolidation
19.42,35000,60,E,RENT,195000,debt_consolidation
15.27,7200,36,C,RENT,54990,debt_consolidation
11.71,18000,60,B,RENT,40000,debt_consolidation
7.90,23000,36,A,MORTGAGE,137000,debt_consolidation
16.77,20000,60,D,RENT,60000,debt_consolidation
17.58,6000,60,D,RENT,30120,debt_consolidation
8.90,7000,36,A,RENT,46000,credit_card
12.69,21000,36,B,MORTGAGE,135000,debt_consolidation
7.51,8250,36,A,MORTGAGE,31500,debt_consolidation
9.91,13000,36,B,RENT,65000,credit_card
6.62,18000,36,A,MORTGAGE,78000,debt_consolidation
6.03,7200,36,A,MORTGAGE,60000,other
8.90,16500,36,A,RENT,48000,credit_card
7.90,8125,36,A,RENT,25000,debt_consolidation
7.51,18800,36,A,MORTGAGE,82000,debt_consolidation
19.03,26800,36,E,MORTGAGE,82000,credit_card
7.90,19200,36,A,MORTGAGE,42000,debt_consolidation
17.58,12875,60,D,RENT,27600,debt_consolidation
12.42,4000,36,B,MORTGAGE,38000,credit_card
16.29,4000,36,D,RENT,35000,debt_consolidation
9.91,12000,36,B,OWN,33000,credit_card
11.71,2625,36,B,MORTGAGE,52800,medical
13.49,18000,60,C,MORTGAGE,40900,debt_consolidation
9.91,7000,36,B,RENT,73882,debt_consolidation
12.69,11300,36,B,MORTGAGE,36000,credit_card
9.91,4000,36,B,MORTGAGE,130000,debt_consolidation
6.03,8000,36,A,MORTGAGE,57200,debt_consolidation
18.25,14400,36,D,RENT,51871,debt_consolidation
12.42,4375,36,B,OWN,15000,debt_consolidation
7.51,4100,36,A,MORTGAGE,70197,credit_card
8.90,6000,36,A,RENT,47000,other
17.27,4200,60,D,RENT,43000,debt_consolidation
6.62,4000,36,A,MORTGAGE,120000,home_improvement
10.65,3000,36,B,MORTGAGE,86004,other
12.69,5400,36,B,MORTGAGE,75000,car
16.29,15000,36,D,RENT,110000,small_business
18.64,20000,60,E,MORTGAGE,80000,debt_consolidation
12.69,10400,36,B,RENT,44000,credit_card
17.58,4500,60,D,MORTGAGE,51600,debt_consolidation
12.42,11500,36,B,RENT,38500,credit_card
6.62,10000,36,A,RENT,75000,home_improvement
13.49,18225,60,C,MORTGAGE,37320,debt_consolidation
8.90,3600,36,A,RENT,55000,debt_consolidation
11.71,18500,60,B,RENT,100000,major_purchase
18.25,16800,60,D,MORTGAGE,70000,credit_card
17.27,10000,36,D,RENT,68000,debt_consolidation
18.25,15000,36,D,MORTGAGE,66000,debt_consolidation
11.71,8000,36,B,RENT,85000,major_purchase
16.77,25000,60,D,RENT,83004,debt_consolidation
7.90,16000,36,A,RENT,51000,debt_consolidation
10.65,8000,36,B,RENT,55000,debt_consolidation
7.51,7200,36,A,MORTGAGE,47000,debt_consolidation
7.51,12000,36,A,RENT,86000,debt_consolidation
15.27,2200,36,C,OWN,48000,debt_consolidation
12.69,20000,60,B,RENT,49000,other
12.42,28000,60,B,MORTGAGE,85000,debt_consolidation
7.51,6000,36,A,MORTGAGE,50000,debt_consolidation
19.42,25000,60,E,RENT,105000,credit_card
8.90,8000,60,A,RENT,51204,debt_consolidation
15.27,14400,36,C,RENT,42996,debt_consolidation
19.03,20000,60,E,RENT,60000,credit_card
14.27,25000,60,C,MORTGAGE,85000,debt_consolidation
8.90,14050,36,A,MORTGAGE,120000,major_purchase
13.49,6000,36,C,OWN,62691,major_purchase
11.71,16100,60,B,MORTGAGE,36000,debt_consolidation
20.30,35000,60,E,OWN,85000,debt_consolidation
7.90,10525,36,A,RENT,49668,debt_consolidation
15.96,7200,36,C,RENT,30000,debt_consolidation
10.65,18500,60,B,OWN,40000,debt_consolidation
13.49,12000,36,C,MORTGAGE,40000,debt_consolidation
11.71,12000,36,B,MORTGAGE,100000,credit_card
11.71,3000,36,B,RENT,56312,other
16.29,9500,36,D,RENT,54011,debt_consolidation
12.42,19775,36,B,RENT,49110.32,debt_consolidation
14.65,12000,60,C,RENT,75000,credit_card
14.27,28000,60,C,MORTGAGE,95000,debt_consolidation
12.42,30000,36,B,RENT,80000,debt_consolidation
10.65,16000,36,B,MORTGAGE,55000,debt_consolidation
14.65,14500,36,C,RENT,90000,credit_card
14.65,11700,60,C,RENT,68500,credit_card
10.65,4150,36,B,RENT,100000,debt_consolidation
11.71,15000,60,B,MORTGAGE,72000,debt_consolidation
16.77,24000,36,D,RENT,70000,credit_card
12.42,21250,36,B,RENT,37000,other
14.27,10000,36,C,OWN,75000,debt_consolidation
18.25,25000,60,D,MORTGAGE,75000,debt_consolidation
15.96,4000,36,C,RENT,39000,debt_consolidation
11.71,15000,36,B,RENT,60000,debt_consolidation
13.49,20000,60,C,RENT,68000,credit_card
17.58,15000,60,D,MORTGAGE,110000,home_improvement
15.96,3600,36,C,RENT,40000,moving
19.03,6000,60,E,OWN,31000,debt_consolidation
15.27,15000,36,C,RENT,60000,debt_consolidation
18.25,12000,60,D,RENT,43000,credit_card
7.51,12375,36,A,RENT,42000,debt_consolidation
12.69,4000,36,B,RENT,30000,home_improvement
10.65,13000,36,B,MORTGAGE,50000,debt_consolidation
6.62,5000,36,A,MORTGAGE,39396,home_improvement
15.96,5000,36,C,OWN,98000,credit_card
11.71,26000,36,B,RENT,62500,credit_card
18.64,15000,60,E,MORTGAGE,95000,credit_card
19.91,4000,60,E,RENT,45000,house
7.90,8000,36,A,RENT,32400,debt_consolidation
7.90,1700,36,A,MORTGAGE,37800,home_improvement
9.91,16000,36,B,RENT,50000,debt_consolidation
9.91,20000,60,B,MORTGAGE,114996,debt_consolidation
14.65,12000,36,C,RENT,54400,debt_consolidation
11.71,7000,36,B,MORTGAGE,72800,credit_card
20.30,8000,60,E,RENT,42500,debt_consolidation
23.52,13000,60,G,RENT,61000,debt_consolidation
